"D150_4_POOLED","PCTFLOAN","DEBT_MDN","GRAD_DEBT_MDN","WDRAW_DEBT_MDN","LO_INC_DEBT_MDN","MD_INC_DEBT_MDN","HI_INC_DEBT_MDN","DEP_DEBT_MDN","IND_DEBT_MDN","PELL_DEBT_MDN","NOPELL_DEBT_MDN","FEMALE_DEBT_MDN","MALE_DEBT_MDN","FIRSTGEN_DEBT_MDN","NOTFIRSTGEN_DEBT_MDN","DEBT_N","GRAD_DEBT_N","WDRAW_DEBT_N","LO_INC_DEBT_N","MD_INC_DEBT_N","HI_INC_DEBT_N","DEP_DEBT_N","IND_DEBT_N","PELL_DEBT_N","NOPELL_DEBT_N","FEMALE_DEBT_N","MALE_DEBT_N","FIRSTGEN_DEBT_N","NOTFIRSTGEN_DEBT_N","GRAD_DEBT_MDN10YR","CUML_DEBT_N","CUML_DEBT_P90","CUML_DEBT_P75","CUML_DEBT_P25","CUML_DEBT_P10","LOAN_EVER","DEBT_MDN_SUPP","GRAD_DEBT_MDN_SUPP","GRAD_DEBT_MDN10YR_SUPP"
"NULL","0.5294","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","18","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","18","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"NULL","0.5179","16201","PrivacySuppressed","PrivacySuppressed","16687","PrivacySuppressed","PrivacySuppressed","10064.5","16838.5","16424.5","15000","16506","15000","16815","14212","78","PrivacySuppressed","PrivacySuppressed","54","PrivacySuppressed","PrivacySuppressed","26","52","58","20","58","20","37","41","PrivacySuppressed","78","PrivacySuppressed","16932","10101","PrivacySuppressed","PrivacySuppressed","16201","PrivacySuppressed","PrivacySuppressed"
"NULL","0.5052","5500","6900","3500","5000","PrivacySuppressed","PrivacySuppressed","5500","5554.5","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","5500","5375","78","54","26","50","18","10","50","28","66","12","PrivacySuppressed","PrivacySuppressed","52","26","70.8140818167314","78","PrivacySuppressed","8167","3500","PrivacySuppressed","0.787037037","5500","6900","70.8140818167314"
"NULL","0.5246","6222","9500","5500","9500","6222","6222","6222","9500","9500","6222","PrivacySuppressed","PrivacySuppressed","6222","6222","157","87","71","81","33","43","95","62","96","61","PrivacySuppressed","PrivacySuppressed","79","78","97.4976488781084","157","10222","9500","5277","3166","0.894736842","6222","9500","97.4976488781084"
"NULL","0.2358","8522","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","23","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","10","13","PrivacySuppressed","23","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"NULL","0.3467","5216","5734.5","4516","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","4492","5458.5","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","5271","4755","90","54","38","74","PrivacySuppressed","PrivacySuppressed","30","60","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","43","47","58.8526597359487","90","PrivacySuppressed","9500","2933","PrivacySuppressed","0.84375","5216","5734.5","58.8526597359487"
"NULL","0.6638","5033","5433","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","3666.5","5596","PrivacySuppressed","PrivacySuppressed","4883","5141.5","5347","4768","135","117","18","118","PrivacySuppressed","PrivacySuppressed","30","105","PrivacySuppressed","PrivacySuppressed","25","110","70","65","55.7583922478698","135","6333","6333","3983","2333","0.857142857","5033","5433","55.7583922478698"
"NULL","0.3956","9833","PrivacySuppressed","PrivacySuppressed","9833","PrivacySuppressed","PrivacySuppressed","9833","12095","9833","9833","PrivacySuppressed","PrivacySuppressed","9833","9833","73","PrivacySuppressed","PrivacySuppressed","31","17","25","54","19","41","32","PrivacySuppressed","PrivacySuppressed","37","36","PrivacySuppressed","73","PrivacySuppressed","12138","8165","PrivacySuppressed","PrivacySuppressed","9833","PrivacySuppressed","PrivacySuppressed"
"NULL","0.75","5500","8676","4750","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","5500","5162","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","43","21","22","25","PrivacySuppressed","PrivacySuppressed","21","22","29","14","PrivacySuppressed","PrivacySuppressed","18","25","89.0410107017335","43","PrivacySuppressed","9500","4402","PrivacySuppressed","PrivacySuppressed","5500","PrivacySuppressed","PrivacySuppressed"
"NULL","0.3636","6333","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","32","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","32","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","6333","PrivacySuppressed","PrivacySuppressed"
